content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
半額のぬるい弁当かきこんで明日を生き抜く炎を宿す,,,,"Nov 3, 2025 3:25 pm",https://twitter.com/RCodome,汐留ライス,CC BY-NC-ND 4.0
微熱には届かなかった星々が明滅を継ぎ手と手を繋ぐ,,,,"Nov 1, 2025 8:13 pm",https://twitter.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
火葬場に降り積もる雪　たましいに温度はないと人は言うだろう,,,,"Oct 25, 2025 6:37 pm",https://twitter.com/kurage_pancake,金井水月,CC BY-NC-ND 4.0
和田くんはやってませんと口にしたときの体温　雪の溶けない,,,,"Oct 31, 2025 12:17 pm",https://twitter.com/iam_yukarigohan,ゆかりごはん,CC BY-NC-ND 4.0
初恋は君ですこれまでの日々は恋と呼べない微熱ですから,,,,"Nov 3, 2025 7:02 pm",https://twitter.com/Linon_non,りのん,CC BY-NC-ND 4.0
きみの声きみのしぐさに細胞のすべてがきゅんと踊って微熱,,,,"Oct 27, 2025 6:50 pm",https://twitter.com/l0vemash,真朱,CC BY-NC-ND 4.0
わずらいは微熱のほうが苦しくて君を見た日は寝つけなかった,,,,"Oct 27, 2025 8:18 pm",https://twitter.com/kikura_ge,キクラゲ,CC BY-NC-ND 4.0
病床にあの日の君と夢で会い微熱のせいと言い訳している,,,,"Nov 4, 2025 9:27 pm",https://twitter.com/kootarogo,藤瀬こうたろー,CC BY-NC-ND 4.0
何年も前の日記の筆圧に世界と闘う私の微熱,,,,"Nov 3, 2025 10:59 am",https://twitter.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
成層圏と悪夢の狭間で揺れている三十八度で浮く熱気球,,,,"Oct 30, 2025 1:58 am",https://twitter.com/kijousan,宇井モナミ,CC BY-NC-ND 4.0
頭頂葉　三十七度二分の雨あなたが花をくわえたせいで,,,,"Nov 3, 2025 3:47 pm",https://twitter.com/Ns4HhpKEzA10870,川村サ行,CC BY-NC-ND 4.0
気がつけば目で追っていた君のこと　三十七度二分の心で,,,,"Nov 1, 2025 5:17 pm",https://twitter.com/MishinOga,大賀ミシン,CC BY-NC-ND 4.0
熱がある/ないかで言えばない夜に等しくまるい抗不安薬,,,,"Nov 4, 2025 10:53 pm",https://twitter.com/hisakatanote,久方リンネ,CC BY-NC-ND 4.0
