content,author_comment,editor_memo,dummy,create_datetime,author_url,author,license
月ほどに慎ましやかな距離でいる時にわたしを照らすあなたは,,,,"Oct 3, 2025 8:49 pm",https://x.com/suimitudou16,睡密堂,CC BY-NC-ND 4.0
原本は大事にしてね複製で構わないから愛をください,,,,"Sep 30, 2025 10:39 pm",https://x.com/tanimanon258x,谷まのん,CC BY-NC-ND 4.0
その闇を愛せよなんて言わないが剣とか盾にすれば強いよ,,,,"Oct 1, 2025 6:44 am",https://x.com/@hijyouguchi_dot,非常口ドット,CC BY-NC-ND 4.0
體と体 Hold me tight スケジュール ロマンティックを止めnight and day,,,,"Sep 26, 2025 5:55 pm",https://x.com/osorakukajin,奈路 侃,CC BY-NC-ND 4.0
どこからが死んでいるのか分からない色水を吸い青くなる花,,,,"Sep 30, 2025 9:04 pm",https://x.com/umefufum,梅ふふむ,CC BY-NC-ND 4.0
もう夏が混ざってぬるいビール飲み互いのモノマネしては笑った,,,,"Sep 30, 2025 5:34 am",https://x.com/sonatine_yuki,村川愉季,CC BY-NC-ND 4.0
「わたしたちそっくり」と言うきみが持つクッキーのチョコチップの多さ,,,,"Oct 4, 2025 8:23 pm",https://x.com/teto_starlight,てと,CC BY-NC-ND 4.0
Birthdayリマインドしてくれるから薄くあまねく響くHappy,,,,"Oct 7, 2025 1:56 am",https://x.com/inan_erotica,インアン,CC BY-NC-ND 4.0
口ぐせが変わってないねグラタンを温め直すみたいな夜だ,,,,"Oct 5, 2025 3:08 pm",https://x.com/nuts722,natsuko,CC BY-NC-ND 4.0
窓越しに見る校庭に似てきたねあなたの語る未来ってのは,,,,"Oct 4, 2025 10:06 am",https://x.com/Linon_non,りのん,CC BY-NC-ND 4.0
泣き声と冷房の風が溢れ出るフードコートの自動ドアから,,,,"Sep 30, 2025 5:34 am",https://x.com/sonatine_yuki,村川愉季,CC BY-NC-ND 4.0
惑うことを許してほしい砂浜で方位のくるった海星の静か,,,,"Oct 6, 2025 9:14 am",https://x.com/spring_bird_gr,はるかぜ,CC BY-NC-ND 4.0
彼岸入り空（から）の巣を見て祈るわれ海の向こうも待つ人がいる,ふと軒下を見ると、燕の巣が空っぽになっていることに気づいた。数羽生まれた雛たちも練習を重ね、立派に飛べるようになっていた。燕たちもフィリピンやマレー半島を目指し、冬を越す準備に出かけたのだ。きっと海の向こうでも「今年も来るかな」と待っている人がいるだろう。この世でも、そしてあの世でも、待ってくれる人がいると思うだけで幸せはやってくる。今日は彼岸の入り。,,,"Oct 6, 2025 8:22 pm",https://x.com/lee.g.chang,リー・ジー・チャン,CC BY-NC-ND 4.0
サルスベリ登って食べたストロベリー満腹感は脳の間違い,,,,"Sep 30, 2025 12:59 pm",https://x.com/no_rain_no_kasa,琉生,CC BY-NC-ND 4.0
きんいろで星空を折る　光らないほかのすべてと引き換えにして,,,,"Oct 1, 2025 5:22 pm",https://x.com/marja0312tk,まる弥,CC BY-NC-ND 4.0
焦がれたり焦らされながら焦ったり片恋の吾は焦げて真っ黒,要するにどう異性と付き合うのか分からないのです。アラカンなのに。,,,"Oct 3, 2025 8:08 pm",https://x.com/Precure_Yoisho,よいしょ上手の高木さん,CC BY-NC-ND 4.0
本心をホワイトチョコでコーティングしてからどうぞとあなたへ差し出す ,,,,"Oct 5, 2025 1:54 am",https://x.com/umi_tsukitokage,ツキミサキ,CC BY-NC-ND 4.0
空っぽの土曜にわざと歩き出す恐竜みたいなクレーン車,,,,"Oct 6, 2025 11:59 pm",https://x.com/mi1s4am,横井のの,CC BY-NC-ND 4.0
赤パジャマ青パジャマ黄パジャマあっ（まーくんくつした小指）かパジャマ,,,,"Sep 30, 2025 9:27 pm",https://x.com/_05_maryo,井山カナ,CC BY-NC-ND 4.0
ちょっとしたメモも捨てられないままであなたがそこにいる気がしてる,,,,"Sep 30, 2025 9:22 pm",https://x.com/kiriyamatouta31,桐谷やまと,CC BY-NC-ND 4.0
今もまだ独り者です亡き母が通った丘に秋桜揺れて,,,,"Oct 4, 2025 10:05 am",https://x.com/Linon_non,りのん,CC BY-NC-ND 4.0
好きだよと言われてあからむ君の顔　ネオンのせいにするのがお得意,初心者で右も左も分かりませんがどこかに投稿したいと思い、投稿させていただきます,,,"Sep 13, 2025 11:13 pm",https://x.com/6fgm4LpR5d20733,しゅー,CC BY-NC-ND 4.0
真っ白な棺に眠っている祖母の淡い灯火《とうか》のように口紅,,,,"Oct 5, 2025 10:42 am",https://x.com/Umi1146295,Umi.,CC BY-NC-ND 4.0
まぐわいのはなはだしかる駅前の蜻蛉小さな秋を見つけた,夏の延長線上の駅前。,,,"Oct 6, 2025 12:54 am",https://x.com/misosarasenryu,鯖虎,CC BY-NC-ND 4.0
ポータブル愛をご所望ですか？もう熾火のように灯っているのに,,,,"Oct 5, 2025 1:33 am",https://x.com/leslie_bekkie,別木れすり,CC BY-NC-ND 4.0
相場では袖は乾かず夜は長い、まぁまぁコーヒーでも飲めよ,,,,"Oct 6, 2025 11:58 pm",https://x.com/mi1s4am,横井のの,CC BY-NC-ND 4.0
ハンバーガー上手に食べる人でした 黙って一抜けした人でした,,,,"Oct 6, 2025 9:36 pm",https://x.com/104ON_BLUE2,伴 更紗,CC BY-NC-ND 4.0
"知らぬ語で泣く子よ君の想い出に残る旅だといいな　真夏日
",,,,"Sep 20, 2025 6:24 am",https://x.com/tatsuyananasino,七篠龍也,CC BY-NC-ND 4.0
ゆびさきはやさしいものだけ触れてたい例えばきみにまつわる全て,お題「指」から生まれた歌です。,,,"Sep 30, 2025 9:29 am",https://x.com/mizu_tama_konko,水玉子,CC BY-NC-ND 4.0
何気なく「独身です」と言うときにゆっくり刺さる毒、死んで、death,,,,"Oct 2, 2025 12:52 am",https://x.com/yukikaze_3710,雪風みなと,CC BY-NC-ND 4.0
けしあとがつもっていちめんゆきげしき　トンネルぬけて、つたえたい　ゆき,,,,"Oct 3, 2025 4:52 pm",https://x.com/murasameshinco,ムラサメシンコ,CC BY-NC-ND 4.0
いつだって調整のきく存在で名は「派遣さん」としか呼ばれず,,,,"Oct 5, 2025 3:07 pm",https://x.com/nuts722,natsuko,CC BY-NC-ND 4.0
朝のバスいつもの時刻顔ぶれで見慣れた街が今は思い出,,,,"Oct 6, 2025 9:36 pm",https://x.com/daigakuimo3717,山野たみ,CC BY-NC-ND 4.0
テトリスは得意ですかにはいと言い棚の整理を任されている,,,,"Sep 30, 2025 10:38 pm",https://x.com/tanimanon258x,谷まのん,CC BY-NC-ND 4.0
君が出たあとの風呂場の鏡には涙まみれの俺が立ってて,,,,"Sep 30, 2025 5:34 am",https://x.com/sonatine_yuki,村川愉季,CC BY-NC-ND 4.0
